lat,lon,n_obs,long_adress,isAirport
-6.787481494659832,-79.82810111089152,1,"Unnamed Road, Chiclayo 14008, Peru",FALSE
-6.508737527328687,-76.37319998372035,1,"Carr a Sta Rosa, Tarapoto 22201, Peru",FALSE
-6.125572001834949,106.65599616077758,1,"Jl. C3 No.831, RT.001/RW.010, Pajang, Benda, Kota Tangerang, Banten 15126, Indonesia",TRUE
-5.911417566748901,-35.24769892540589,1,"R. Otávio Gomes de Castro, Parnamirim - RN, 59148-902, Brazil",FALSE
-5.2057512871098774,-80.6163993637443,1,"Corpac 247, Piura 20003, Peru",TRUE
-4.674338661703991,55.52179904695417,1,"E Coast Rd, Victoria, Seychelles",TRUE
-4.385751279452497,15.444598759344908,1,"Kinshasa, Democratic Republic of the Congo",FALSE
-3.7847414706720683,-73.30879824182061,1,"Calle las Flores, Iquitos 16008, Peru",FALSE
-3.552527405883497,-80.38140072407141,1,"Carretera al Aeropuerto, Tumbes 24000, Peru",FALSE
-3.4294102348657858,37.07450037066716,1,"Unnamed Road, Tanzania",TRUE
-3.038607181962954,-60.04970115537863,1,"Manau International Airport AM Eduardo Gomes (MAO) - Av. Santos Dumont, 1350 - Tarumã, Manaus - AM, 69041-000, Brazil",TRUE
-2.889471997468352,-78.98439783924957,1,"Del Ruiz 2-23, Cuenca, Ecuador",TRUE
-2.157421011363553,-79.8835978029279,1,"Aeropuerto Internacional José Joaquín De Olmedo, José Joaquín de Olmedo, Av de Las Américas, Guayaquil 090513, Ecuador",TRUE
-1.9686314178679467,30.13949943249499,1,"KN 5 Rd, Kigali, Rwanda",TRUE
-1.3792526523286743,-48.47629746841307,1,"Alameda De Gemeos Lot Eunice Weaver, 35 - Val de Caes, Belém - PA, 66115-222, Brazil",TRUE
-1.3192410528666716,36.92780025680186,1,"Unnamed Road, Nairobi, Kenya",TRUE
-0.4537596554318068,-90.26590244790779,1,"Seymour Airport, Aeropuerto Seymour de Baltra, Isla Baltra Baltra, Ecuador",TRUE
-0.1291676053342928,-78.35750179728514,1,"PerishableCenter, Corredor Periférico Sur, Quito 170183, Ecuador",TRUE
0.0423874176837783,32.443500236586864,1,"Entebbe International Airport, 14 Kitaasa Rd, Entebbe, Uganda",TRUE
1.350192232959639,103.99400559671002,1,"T2 Vip Dr, Singapore",TRUE
2.745579376799197,101.7100010196682,1,"KLIA Satellite Building, Klia Satelite A Building, 64000, Klia Departure, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia",TRUE
3.72255836116652,11.55329859793441,1,"Alongside Airport Rd, Yaounde, Cameroon",TRUE
4.006080796509058,9.719478419682796,1,"Unnamed Road, Douala, Cameroon",TRUE
4.191827984112519,73.52910051404842,1,"Domestic Terminal, Airport Main Rd, Malé, Maldives",TRUE
4.452781611904852,-75.76639757163116,1,"El Edén International Airport, Cl. 23 #22-08, Armenia, El Eden, Armenia, Quindío, Colombia",TRUE
4.701588534440412,-74.14689798622618,1,"Unnamed Road, Bogotá, Colombia",TRUE
4.812667862182424,-75.73949720314977,1,"Av. 30 de Agosto #63-745, Pereira, Risaralda, Colombia",TRUE
5.015489192080785,6.9495884436361965,1,"Omagwa, Nigeria",FALSE
5.261391218595032,-3.926290693959138,1,"Unnamed Road, Abidjan, Côte d'Ivoire",TRUE
5.297138055433244,100.2769991965783,1,"Penang International Airport (PEN), Lapangan Terbang Antarabangsa Bayan Lepas, 11900 Bayan Lepas, Pulau Pinang, Malaysia",TRUE
5.452827877104142,-55.18779902986061,1,"Johan Adolf Pengel International Airport, Luchthavenlaan 1, Paramaribo, Suriname",TRUE
5.605188813985331,-0.16678801416258265,1,"Kotoka International Airport, Airport Rd, Accra, Ghana",TRUE
5.937212126685692,116.05100285149982,1,"Jalan Johor, Tanjung Aru, 88100 Kota Kinabalu, Sabah, Malaysia",TRUE
6.057997359477221,125.09600108433258,1,"Terminal Road, General Santos City, 9500 South Cotabato, Philippines",TRUE
6.164538861481796,-75.42309844952263,1,"Unnamed Road, Rionegro, Antioquia, Colombia",TRUE
6.165610292558691,1.2545082811727915,1,"Unnamed Road, Lomé, Togo",TRUE
6.23379227017926,-10.36230268835187,1,"Roberts International Airport, Harbel, Liberia",TRUE
6.357230297562244,2.3843524052810183,1,"Rue 2100, Cotonou, Benin",TRUE
6.4985503377312615,-58.25410299164019,1,"Unnamed Road, Guyana",FALSE
6.577372141607409,3.3211613186317193,1,"International Terminal Ikeja Lagos, Ikeja, Lagos, Nigeria",TRUE
7.125520864209067,125.64600619019045,1,"Nueva Ecija St, Buhangin, Davao City, Davao del Sur, Philippines",TRUE
7.1265006220387415,-73.18479871579841,1,"Aeropuerto Internacional Palonegro, Lebrija, Santander, Colombia",TRUE
7.18075972523763,79.88410200578761,1,"Bandaranaike International Airport (CMB), Canada Friendship Rd, Katunayake 11450, Sri Lanka",TRUE
7.367652828431354,134.54400637110444,1,"Palau International Airport, Airai, Palau",TRUE
7.565380563531001,-72.0351016040889,1,"Mayor Buenaventura Vivas Airport, 5032, Táchira, Venezuela",TRUE
7.927570104144998,-72.51149882200632,1,"Unnamed Road, Cúcuta, Norte de Santander, Colombia",FALSE
8.113202700189435,98.3169048498578,1,"4031, Tambon Mai Khao, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",TRUE
8.482118765318269,76.92009965832862,1,"36/1757,No.2,V.K.K.Nagar,Vallakadavu(po),West Fort,-695008, Vallakkadavu, Thiruvananthapuram, Kerala 695008, India",TRUE
8.616437261230788,-13.195498771182473,1,"Unnamed Road, Sierra Leone",FALSE
8.977887686289067,38.799303869239225,1,"Addis Ababa Bole Airport, Ethiopia, international airport, አዲስ አበባ, Ethiopia",TRUE
9.006787677475467,7.263168244911297,1,"Unnamed Road, Abuja, Nigeria",TRUE
9.07136002098671,-79.3834973210259,1,"Tocumen Int'l Airport, Panama City, Panama",FALSE
9.547791616371844,100.06199678395546,1,"99 หมู่4 สนามบินสมุย, ตำบลบ่อผุด อำเภอเกาะสมุย จังหวัดสุราษฎร์ธานี, 84140 Tambon Bo Put, Amphoe Ko Samui, Chang Wat Surat Thani 84320, Thailand",TRUE
9.576892142786539,-13.611998981196923,1,"matoto dabompa, Conakry, Guinea",TRUE
9.742121711746364,118.7590019265164,1,"Puerto Princesa International Airport, Puerto Princesa City, Palawan, Barangay San Miguel, Puerto Princesa, Palawan, Philippines",TRUE
9.993862178192995,-84.20879890259096,1,"Calle La Candela, Alajuela Province, Alajuela, Costa Rica",TRUE
10.149735346358336,-67.92839795959897,1,"Calle Venezuela, Flor Amarillo 2003, Carabobo, Venezuela",FALSE
10.151998529649102,76.40189943967846,1,"Koolikkara Rd, Kerala 683111, India",TRUE
10.307499275247606,123.97899694441321,1,"Mactan International Airport, Lapu-Lapu City, Cebu, Philippines",TRUE
10.44240218811116,-75.5130012571566,1,"Cl. 73 #1419, Cartagena, Provincia de Cartagena, Bolívar, Colombia",FALSE
10.558208417663002,-71.72785871602794,1,"Airport La Chinita, Av. Don Manuel Belloso, Maracaibo 4004, Zulia, Venezuela",TRUE
10.593302082614764,-85.54440363008658,1,"Daniel Oduber International Airport / Liberia Airport, 1B Liberia Airport, Boulevard, Guanacaste Province, Liberia, 50101, Costa Rica",TRUE
10.595399108144944,-61.33720034639504,1,"Piarco International Airport (POS), Golden Grove Rd, Piarco, Trinidad and Tobago",TRUE
10.603116849645355,-66.99058637010678,1,"Simon Bolivar, Maiquetía, Vargas, Venezuela",FALSE
10.776402205204722,123.01500118368355,1,"New Bacolod-Silay International Airport, Airport Road, Silay City, 6116 Negros Occidental, Philippines",TRUE
10.818801082044404,106.65200264494551,1,"Unnamed Road, Phường 15, Tân Bình, Hồ Chí Minh, Vietnam",TRUE
10.833016164941599,122.49335748868467,1,"Iloilo International Airport (ILO), Iloilo Airport Access Road,Cabatuan 5031,Iloilo, Cabatuan, Iloilo, Philippines",TRUE
10.889601476788716,-74.78080130202507,1,"Unnamed Road, Soledad, Atlántico, Colombia",TRUE
11.029999054907575,77.04340590541874,1,"Civil Aerodrome Post, Peelamedu, Tamil Nadu, India",FALSE
11.119598194910132,-74.23060139051685,1,"Calle 158, Santa Marta, Magdalena, Colombia",FALSE
11.136798387919962,75.95530175668578,1,"Unnamed Road, Karipur, Kerala 673647, India",TRUE
11.149701397466307,-60.83220107534469,1,"Lighthouse Road, Crown Point, Trinidad and Tobago",TRUE
11.54660072130933,104.8439999449425,1,"អាកាសយានដ្ឋានអន្តរជាតិភ្នំពេញ, Russian Federation Blvd. (110), Phnom Penh, Cambodia",TRUE
11.679400879064751,122.375998543508,1,"Kalibo Airport Control Tower Access Road, Kalibo, Aklan, Philippines",TRUE
12.004199193968516,-61.786198722549315,1,"Saint George, Grenada",FALSE
12.131000483608917,-68.26849997721067,1,"Bonaire International Airport, Plasa Medardo SV Thielman 1, Kralendijk, Caribbean Netherlands",TRUE
12.141502799993665,-86.16819997037935,1,"Unnamed Road, Managua 11072, Nicaragua",TRUE
12.188897868806887,-68.95980220492577,1,"Curaçao International Airport (CUR), Plasa Margaret Abraham z/n CW, Curaçao",TRUE
12.353199246138601,-1.51241950307298,1,"Aéroport international de, Ouagadougou, Burkina Faso",TRUE
12.50140050942714,-70.01519619313468,1,"Bucutiweg 34, Oranjestad, Aruba",TRUE
12.533497605110368,-7.949938376466906,1,"secondary Rte, Bamako, Mali",TRUE
12.58360276429456,-81.71120138910233,1,"Cra. 14 #15-2 a 15-708, San Andrés, San Andrés y Providencia, Colombia",TRUE
12.990007457958804,80.16929747789192,1,"Unnamed Road, Meenambakkam, Chennai, Tamil Nadu 600016, India",TRUE
13.074598946831918,-59.4924996996139,1,"Unnamed Road, Barbados",TRUE
13.144299262609584,-61.21089753003641,1,"Arnos Vale Playing Field, Arnos Vale, St Vincent and the Grenadines",TRUE
13.19789946434407,77.70630088565125,1,"Kia Parking Area P6, Hunachur, Karnataka 560300, India",TRUE
13.33799910440946,-16.65219898583034,1,"Former Transoceanic Abort Landing Site of NASA, Unnamed Road, Yundum, The Gambia",TRUE
13.410701719033609,103.81300249965024,1,"វិថី គោក​ដូង, អាគាររ រដ្ឋបាល, សង្កាត់ ទឹកវិល, Krong Siem Reap, Cambodia",TRUE
13.440902324414955,-89.05570099303246,1,"RN-5, El Salvador",FALSE
13.48339860407981,144.79600322473772,1,"Aeroporto de Guam, Tamuning, 96913, Guam",TRUE
13.681097691289699,100.74700220550207,1,"Unnamed Road, Tambon Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",TRUE
13.733202473178897,-60.952596696835535,1,"Hewanorra International Airport Beanfield ATM12, St Lucia",TRUE
14.020202762337878,-60.99289854814503,1,"George F.L. Charles Airport, Peninsular Rd, St Lucia",TRUE
14.06089995452602,-87.21719974959461,1,"Aeropuerto Internacional Toncontín, Tegucigalpa, Col. 15 de Septiembre, Tegucigalpa, Honduras",TRUE
14.508597716485344,121.01999651850574,1,"Sky Pasada - Manila International Airport Authority, Ninoy Aquino International Airport Terminal 4, Moonwalk Access Road, Pasay, 1301 Metro Manila, Philippines",TRUE
14.5832999538145,-90.52749778843067,1,"La Aurora International Airport, Central America, 9 Avenida 14-75, Guatemala 01013, Guatemala",TRUE
14.591000506581059,-61.00320032930148,1,"Aéroport international Aimé Césaire 42 FR, Le Lamentin, Martinique",TRUE
14.73970024315136,-17.49020132741073,1,"Unnamed Road, Dakar, Senegal",TRUE
15.118998303527965,145.7290019687508,1,"Saipan International Airport (SPN), I Fadang, Saipan 96950, CNMI",TRUE
15.185999988090563,120.55999735268497,1,"OMNI Driveway, Clark Freeport, Mabalacat, Pampanga, Philippines",TRUE
15.291899777364597,38.910704053346514,1,"Hday St, Asmara, Eritrea",TRUE
15.380799908857092,73.8313987763374,1,"Goa International Airport (GOI), Airport Rd, Dabolim, Goa 403801, India",TRUE
15.452597250164935,-87.9235994152114,1,"Unnamed Road, La Lima, Honduras",TRUE
15.476300514149496,44.21970233513896,1,"Sana'a International Airport | Yemen, Airport Road, Sana'a, Yemen",TRUE
15.546997776490688,-61.2999981967572,1,"Douglas-Charles Airport, Melville Hall Road, Dominica",TRUE
15.589499785733496,32.55319873604261,1,"Ebed Khatim St, Al Khurtum, Sudan",TRUE
15.775298539538518,-96.2626047824619,1,"México 200, Oaxaca, Mexico",TRUE
16.04390115389585,108.19900015095465,1,"Cảng Hàng Không Quốc Tế Đà Nẵng, Phường Hoà Thuận Tây, Quận Hải Châu, Thành Phố Đà Nẵng, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",TRUE
16.316800951716658,-86.52300408501411,1,"Contiguo al Aeropuerto Juan Manuel Galvez, Roatán, Honduras",FALSE
16.56360252196926,-93.02249980310735,1,"Unnamed Road, 29176 Chis., Mexico",TRUE
16.757101828540844,-99.75399759160496,1,"Unnamed Road, Aeropuerto, Acapulco de Juárez, Gro., Mexico",TRUE
16.90730271453439,96.13320226443162,1,"Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)",TRUE
16.99989842380548,-96.7266031936927,1,"Oaxaca International Airport, Km 7.5, Oaxaca - Puerto Angel, Santa Cruz, 71230 Oaxaca de Juárez, Oax., Mexico",TRUE
17.136697826970916,-61.792701793524046,1,"Burma Rd, Osbourn, Antigua and Barbuda",TRUE
17.20569913423852,-62.58990381051318,1,"Vance W. Amory International Airport (NEV), New Castle, St Kitts & Nevis",TRUE
17.231316077258818,78.42985490765426,1,"Departure Dr, Shamshabad, Gollapalle Khurd, Telangana 501218, India",TRUE
17.31119785305596,-62.71869899328063,1,"Robert L. Bradshaw International Airport. IATA: SKB, Basseterre, St Kitts & Nevis",TRUE
17.539103275225145,-88.30819733519297,1,"ccc, Terminal 1, Ladyville, Belize",TRUE
17.601601511518016,-101.4609992914823,1,"Carr Zihuatanejo - Aeropuerto, Guerrero, Mexico",FALSE
17.701897773555668,-64.79859881496299,1,"Henry E Rohlson Airport, Christiansted, St Croix 00820, USVI",TRUE
17.721200721673625,83.22450324717983,1,"Visakhapatnam International Airport, NH 16 Opp, Viman Nagar, Visakhapatnam, Andhra Pradesh 530009, India",TRUE
17.904398247088753,-62.843603792619156,1,"Gustaf III Airport (SBH), St Barthélemy",TRUE
17.93569893143675,-76.78750003580151,1,"Norman Manley Hwy, Jamaica",TRUE
17.98830218660771,102.56300339632513,1,"瓦岱機場, Vientiane, Laos",TRUE
17.996999685937798,-92.81739810118437,1,"Carlos Rovirosa Pérez International Airport, Dos Montes, 86280 Villahermosa, Tab., Mexico",TRUE
18.008298413657776,-66.56300515633451,1,"Mercedita/Ponce International Airport, PR-1, Ponce, 00715, Puerto Rico",TRUE
18.041002844603845,-63.10890044049859,1,"102 Airport Rd, Simpson Bay, Sint Maarten",TRUE
18.134801765244713,-65.49359662045667,1,"Antonio Rivera Rodríguez Airport, Km. 2.6, PR-200, Vieques, 00765, Puerto Rico",TRUE
18.178100185822746,120.53199690523691,1,"Laoag International Airport, Laoag City, Ilocos Norte, Philippines",TRUE
18.204800019075847,-63.0550997035358,1,"Long Ground Road, 2640, Anguilla",TRUE
18.25570158959527,-67.14849926802279,1,"Aeropuerto Eugenio María de Hostos, Camino Aeropuerto, Mayagüez, 00682, Puerto Rico",TRUE
18.33729650919985,-64.9733967791015,1,"Cyril E. King Airport, Airport Rd, Charlotte Amalie West, St Thomas 00802, USVI",TRUE
18.429703142398544,-69.66890050175762,1,"Ruta 66 142, Santo Domingo, Dominican Republic",TRUE
18.43939758829216,-66.0017987255818,1,"Terminal D - SJU, Carolina, 00979, Puerto Rico",TRUE
18.444800580300242,-64.54299661297718,1,"Rte 2, British Virgin Islands",TRUE
18.45070204559009,-68.91179407127176,1,"international Airport, La Romana 22000, Dominican Republic",TRUE
18.494900009906484,-67.12940258471109,1,"Unnamed Road, Aguadilla Pueblo, Aguadilla 00603, Puerto Rico",TRUE
18.50370064163969,-77.91339648070128,1,"Sangster International Airport, Montego Bay, Jamaica",TRUE
18.567402089302337,-68.36340470639614,1,"AVIAM, Punta Cana 23000, Dominican Republic",TRUE
18.580001431217266,-72.29250289355141,1,"Unnamed Road, Pòtoprens, Haiti",TRUE
18.582098456747445,73.91970303172296,1,"Pune Airport 1, Unnamed Road, Pune International Airport Area, Lohegaon, Pune, Maharashtra 411032, India",TRUE
18.766797131585818,98.96259963708049,1,"Chiang Mai International Airport (CNX), 60 Mahidol Rd, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",TRUE
19.088702009624164,72.86789575931155,1,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",TRUE
19.144800307345424,-104.55899927848851,1,"Alaska Airlines - Manzanillo, Playa De Oro International, Carretera Manzanillo-Barra De Navidad Km. 42, 28219 Manzanillo, Col., Mexico",TRUE
19.145900386312075,-96.18730093944787,1,"Veracruz International Airport, Carr. Veracruz-Xalapa Km 13.5, 91698 Veracruz, Ver., Mexico",TRUE
